N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/Pre-fasta2ubam/fasta2ubam.nf` [distracted_wing] - revision: dbad6288c0
[44/2b76a6] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[78/cf5534] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[4e/af4fff] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[a6/068098] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[39/d37872] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[6d/2d30c0] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[15/c87e12] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[36/e23ee8] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[01/ac230e] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ef/448a11] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[11/baee20] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[da/18b0aa] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[1d/233769] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ea/f04f8b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[19/574a1c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[a5/7d0464] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[11/f1d776] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[01/c7234a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[4e/490e05] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[52/141466] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[48/c215d3] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[7b/d122df] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[46/f0a3c3] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[04/895b56] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[14/ef10a5] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[36/dd5a6c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[21/c0fe52] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[b4/b6355a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[96/32b87d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[46/05fa39] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f5/27634a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[7b/e64a50] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[fe/cb4c5a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[18/3a4a11] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[33/61d5e0] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[76/a86f9a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[96/438425] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[76/1000ee] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[41/40934c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c2/e1c073] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[1d/9aa376] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[80/e03938] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[9d/92c5d8] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[45/169d59] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[92/82d0e8] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[6b/45dc2d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[23/ba17be] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[8b/39d135] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[39/6d44d0] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[3c/93cc5a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[2d/b3f611] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[36/d0d3ed] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[70/1de414] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[0c/48ea38] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[11/f5c37a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[9e/35aa6b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[73/d0aaec] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[e9/bd83ed] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c0/cd5e78] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[85/448f39] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[76/b2ffc7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[80/ee7757] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c5/3a38f2] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[b0/9b5b1f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[76/c07de8] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[8a/ee99f8] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[a2/18cadc] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[cd/23a898] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[41/07532f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ad/c05779] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[83/71f4c9] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[83/fd219d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[e7/26cf8c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[7c/37482e] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[a5/f38e8a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ad/eb96e3] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[16/011712] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ef/c57a23] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[df/9ec04d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[6d/9b16e3] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[88/29c39f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[9e/8dd89f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[cd/92e62d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[02/6829d2] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[7d/61722f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[33/31d402] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[bc/6c3a13] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[0a/cfc467] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[9e/3ac16f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[57/44880e] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f5/c5f3a6] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c7/fcfe16] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[cc/296cb7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[de/f95248] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[b4/72c32f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[0a/8a6546] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[fc/7531aa] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ec/b28a40] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f3/b3a4d6] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[08/dd2aa8] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[1d/2a4cef] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[b8/193e9d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[58/0cd2d4] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[40/8e801d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[14/1d8595] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f3/d3fa71] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[82/d6a813] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d4/f20361] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[65/5eea38] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[db/aa0ec6] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[25/1eb24a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[3d/a204a0] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
