N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4MT2T.nf` [crazy_lichterman] - revision: b3005fa5b5
[49/f9a01e] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[1d/0f5d97] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[96/a3b1d7] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[0c/0a4d7f] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[78/e2c5a6] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[68/d3d159] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[08/fec17e] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[3e/358802] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[50/f6b05e] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[c2/a80e3c] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[fc/3d1e25] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[62/05b117] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[7a/5d78b9] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[63/eaadb2] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[0e/941d28] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[73/210358] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[0c/aa5267] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[e3/1b9ba3] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[bf/b6a90e] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[80/f9dbfa] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[eb/41c175] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[68/eba8bf] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[99/20176f] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[40/2b8285] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[17/18a5d7] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[65/7b14dc] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[98/619970] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[c7/19d945] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[00/55d7bb] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[95/78af56] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[79/96e347] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[8b/9c11c1] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[cd/2a669a] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[d4/10e17b] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[85/6946f4] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[40/c2d4f7] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[14/856d3c] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[49/a25fc5] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[63/c89802] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[1e/4edbc4] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
