task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2612	f2/3c21d6	4684006	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:22:45.418	1h 53m	6m 19s	1561.0%	8.9 GB	31.1 GB	12 GB	6.8 GB
2666	c1/1c2953	4684063	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:30:40.151	2h 16m 5s	19m 46s	743.8%	8.9 GB	30.4 GB	12 GB	6.8 GB
2642	bd/cc3e9b	4684075	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:41:50.186	3h 28m 56s	29m 28s	558.4%	9.1 GB	31.2 GB	12.1 GB	6.9 GB
2621	83/e24862	4684074	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:41:45.212	3h 14m 1s	16m 51s	139.2%	6.8 GB	30 GB	5.8 GB	734.5 MB
2655	09/922881	4684331	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-23 03:53:47.013	4h 23m 6s	1h 17m 11s	258.5%	9 GB	31.5 GB	12 GB	6.8 GB
2681	42/1ec090	4684084	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:51:45.523	3h 42m 30s	6m 3s	1563.2%	8.9 GB	31.5 GB	12.1 GB	6.9 GB
2625	51/a422b5	4684007	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:22:45.597	3h 16m	1h 26m 45s	243.8%	9.2 GB	31.4 GB	12.1 GB	6.9 GB
2600	c7/c75fac	4683938	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:03:30.065	1h 53m 15s	6m 24s	1567.7%	9 GB	31.5 GB	12.1 GB	6.9 GB
2602	51/a4f14c	4683944	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:09:45.209	1h 49m 30s	2m 2s	1483.7%	9 GB	31.3 GB	7.1 GB	2 GB
2647	ab/a038bd	4684071	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:38:50.378	2h 48m 55s	6m 39s	1567.7%	9 GB	31.1 GB	12.1 GB	6.9 GB
2688	63/ead7cd	4684073	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:40:45.204	3h 1m 1s	6m 25s	1566.8%	9 GB	31 GB	12 GB	6.9 GB
2661	a2/d4277a	4684068	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:35:45.305	2h 38m	6m 14s	1564.9%	8.9 GB	31.2 GB	12.1 GB	6.9 GB
2696	37/23a032	4686811	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:14:11.235	13m 59s	3m 26s	249.3%	5.6 GB	37.2 GB	6.5 GB	3.5 GB
2697	fb/9340a8	4686854	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:19:15.558	13m 34s	3m 30s	246.3%	5.6 GB	35.7 GB	6.7 GB	3.6 GB
2700	e2/ba0c01	4686997	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:37:55.424	13m 15s	3m 27s	259.0%	5.6 GB	35.7 GB	6.6 GB	3.5 GB
2698	08/760d1e	4686785	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:11:10.254	12m	1m 28s	295.4%	5.5 GB	35.9 GB	4.4 GB	1.3 GB
2694	bd/9fdb8d	4687152	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:54:10.390	6m 34s	54.4s	345.5%	4.2 GB	37.3 GB	3.8 GB	827.7 MB
2703	f8/8ec093	4686863	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:20:10.609	13m 9s	3m 24s	250.9%	5.6 GB	35.7 GB	6.5 GB	3.5 GB
2701	2b/80e167	4686816	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:15:09.963	13m 10s	3m 22s	247.2%	5.8 GB	35.6 GB	6.5 GB	3.4 GB
2702	37/b1985d	4686799	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:12:45.305	13m 14s	3m 26s	249.8%	5.6 GB	35.7 GB	6.7 GB	3.6 GB
2706	1f/263b87	4687002	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:38:15.336	12m 55s	3m 24s	250.6%	5.7 GB	35.7 GB	6.5 GB	3.4 GB
2699	7b/882bd9	4686819	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:15:25.110	11m 55s	1m 56s	278.8%	5.7 GB	35.7 GB	4.9 GB	1.9 GB
2709	01/222d2b	4686824	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:15:29.969	13m 45s	3m 17s	243.9%	5.7 GB	35.7 GB	6.5 GB	3.4 GB
2707	34/193d7c	4686862	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:20:10.032	13m 45s	3m 30s	239.6%	5.3 GB	35.7 GB	6.5 GB	3.4 GB
2710	42/0051a2	4686809	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:14:10.812	12m 59s	3m 33s	249.2%	5.9 GB	35.8 GB	6.6 GB	3.5 GB
2708	ff/9f4662	4686802	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:12:49.933	12m 30s	2m 16s	281.7%	5.5 GB	35.7 GB	5.1 GB	2.1 GB
