N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4Mhg38.nf` [sleepy_poitras] - revision: 7b5debd944
[6d/e34369] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[82/397d9e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[74/7d0af8] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[91/a59af3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0a/e86c27] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[43/9a9135] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4b/fbd083] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[85/c0fea7] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[49/50cdcf] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[7d/c05330] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[02/44a317] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[66/6b373f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[fd/4a231c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[7f/8b8d62] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f9/7cbfaa] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e9/ab9e8f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b9/7f51cd] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cf/e0f4a4] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[2a/09bb5d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[67/24428d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5b/4b9f33] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f3/131fcc] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[78/fae870] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8c/33f964] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5c/0e892c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
